Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTOR,2,TERM BLOCK PLUG 2POS 5.08MM,277-1040-ND,digikey
2,CONNECTOR,2,TERM BLOCK PLUG 2POS STR 5.08MM,277-1011-ND,digikey
